latitude,longitude
40.0992294,-83.1140771
44.8709699,-0.5474899
41.8755616,-87.6244212
12.94514225,77.55364499971128
26.9154576,75.8189817
18.521428,73.8544541
12.94514225,77.55364499971128
55.6867243,12.5700724
10.9094334,78.3665347
12.94514225,77.55364499971128
28.6517178,77.2219388
12.94514225,77.55364499971128
12.7948109,79.0006410968549
28.6517178,77.2219388
12.94514225,77.55364499971128
12.6840886,79.9836371
12.94514225,77.55364499971128
13.0836939,80.270186
12.94514225,77.55364499971128
10.9094334,78.3665347
24.578721,73.6862571
51.5099723,-0.13006
40.0992294,-83.1140771
44.8709699,-0.5474899
41.8755616,-87.6244212
12.94514225,77.55364499971128
26.9154576,75.8189817
18.521428,73.8544541
12.94514225,77.55364499971128
55.6867243,12.5700724
10.9094334,78.3665347
12.94514225,77.55364499971128
28.6517178,77.2219388
12.94514225,77.55364499971128
12.7948109,79.0006410968549
28.6517178,77.2219388
12.94514225,77.55364499971128
12.6840886,79.9836371
12.94514225,77.55364499971128
13.0836939,80.270186
12.94514225,77.55364499971128
10.9094334,78.3665347
24.578721,73.6862571
51.5099723,-0.13006
17.360589,78.4740613
12.94514225,77.55364499971128
10.9094334,78.3665347
32.18308295,76.36186245
30.3255646,78.0436813
23.0216238,72.5797068
24.0002488,53.9994829
12.9791198,77.5912997
32.18308295,76.36186245
30.3255646,78.0436813
23.0216238,72.5797068
24.0002488,53.9994829
12.9791198,77.5912997
40.0149856,-105.270545
13.0836939,80.270186
34.0536909,-118.242766
10.9094334,78.3665347
13.0836939,80.270186
10.9094334,78.3665347
28.4646148,77.0299194
40.7127281,-74.0060152
13.6316368,79.4231711
10.9094334,78.3665347
12.7948109,79.0006410968549
12.7948109,79.0006410968549
12.9791198,77.5912997
10.9094334,78.3665347
18.521428,73.8544541
10.9094334,78.3665347
18.521428,73.8544541
9.8971914,78.1365192
26.8381,80.9346001
24.578721,73.6862571
19.0759899,72.8773928
12.7948109,79.0006410968549
12.94514225,77.55364499971128
12.9791198,77.5912997
28.6138954,77.2090057
10.9094334,78.3665347
28.42826235,77.00270014657752
22.5726723,88.3638815
12.9791198,77.5912997
20.84351185,75.52592658756026
13.0836939,80.270186
28.42826235,77.00270014657752
51.5338494,-0.2261115962256513
12.94514225,77.55364499971128
12.94514225,77.55364499971128
10.9094334,78.3665347
11.2586082,75.7788735
13.0836939,80.270186
23.2584857,77.401989
28.4029786,77.3103837
17.7231276,83.3012842
12.94514225,77.55364499971128
34.0536909,-118.242766
10.9094334,78.3665347
10.9094334,78.3665347
30.3255646,78.0436813
47.5581077,7.5878261
12.7948109,79.0006410968549
32.7174202,-117.1627728
12.9791198,77.5912997
22.5726723,88.3638815
19.0759899,72.8773928
12.9791198,77.5912997
41.8755616,-87.6244212
12.94514225,77.55364499971128
28.6517178,77.2219388
8.576970549999999,77.05012463730725
10.9094334,78.3665347
12.94514225,77.55364499971128
27.1303344,80.859666
19.0759899,72.8773928
33.3061605,-111.84125
13.0836939,80.270186
47.6038321,-122.3300624
28.6479519,77.08556541088615
24.0,87.583333
13.0836939,80.270186
18.521428,73.8544541
21.5892323,85.66878413736906
26.8105777,73.7684549
46.3244686,-0.4534514
32.9481789,-96.7297206
28.6517178,77.2219388
19.1943294,72.9701779
32.701938999999996,-97.10562379033699
